rentfaster_id,city,province,address,latitude,longitude,lease_term,type,price,beds,baths,sq_feet
334126,Brooks,Alberta,11 Greenbrook Drive E,50.5678457,-111.8771813,Long Term,Apartment,1365.0,1,1,510.0
334126,Brooks,Alberta,11 Greenbrook Drive E,50.5678457,-111.8771813,Long Term,Apartment,1620.0,2,1,800.0
334240,Brooks,Alberta,1011 Cassils Road West,50.5721322,-111.9133726,Long Term,Apartment,1650.0,2,1,791.0
334240,Brooks,Alberta,1011 Cassils Road West,50.5721322,-111.9133726,Long Term,Apartment,1635.0,1,1,625.0
334127,Brooks,Alberta,1023 3rd Ave E,50.5652126,-111.8778149,Long Term,Apartment,1375.0,1,1,550.0
334127,Brooks,Alberta,1023 3rd Ave E,50.5652126,-111.8778149,Long Term,Apartment,1500.0,1,1,550.0
547537,Brooks,Alberta,204 Cassils Road East Brooks,50.57198,-111.8908,Long Term,Apartment,1975.0,2,1,932.0
544816,Bruderheim,Alberta,4711 56 Avenue,53.8068125,-112.9229251,Negotiable,Condo Unit,1450.0,2,2,800.0
571702,Calgary,Alberta,1055 11 Street SW,51.04338,-114.08903,Long Term,Apartment,1725.0,1,1,483.0
571702,Calgary,Alberta,1055 11 Street SW,51.04338,-114.08903,Long Term,Apartment,1875.0,1,1,527.0
571702,Calgary,Alberta,1055 11 Street SW,51.04338,-114.08903,Long Term,Apartment,2400.0,2,2,854.0
560938,Calgary,Alberta,829 Royal Ave SW,51.0349477,-114.0811233,Long Term,Apartment,2800.0,2,2,815.0
560938,Calgary,Alberta,829 Royal Ave SW,51.0349477,-114.0811233,Long Term,Apartment,2925.0,2,2,873.0
560938,Calgary,Alberta,829 Royal Ave SW,51.0349477,-114.0811233,Long Term,Apartment,3250.0,2,2,969.0
560938,Calgary,Alberta,829 Royal Ave SW,51.0349477,-114.0811233,Long Term,Apartment,2050.0,1,1,591.0
560938,Calgary,Alberta,829 Royal Ave SW,51.0349477,-114.0811233,Long Term,Apartment,2850.0,2,2,887.0
560938,Calgary,Alberta,829 Royal Ave SW,51.0349477,-114.0811233,Long Term,Apartment,2850.0,2,2,873.0
560938,Calgary,Alberta,829 Royal Ave SW,51.0349477,-114.0811233,Long Term,Apartment,3800.0,3,2,1151.0
483743,Calgary,Alberta,524 10th Ave,51.04366769609,-114.07208817361,Long Term,Apartment,11200.0,2,2,2416.0
483743,Calgary,Alberta,524 10th Ave,51.04366769609,-114.07208817361,Long Term,Apartment,6400.0,1,1,1028.0
483743,Calgary,Alberta,524 10th Ave,51.04366769609,-114.07208817361,Long Term,Apartment,5000.0,1,1,1039.0
483743,Calgary,Alberta,524 10th Ave,51.04366769609,-114.07208817361,Long Term,Apartment,3074.0,2,2,900.0
